Gender,Type,Description
Female,Hourglass,Bust and hips are roughly equaly well define waist
,Pear(Triangle),Hips are wider than sholders and Lower body is heavier than upper body
,Apple(Round),Carries weight around this midsection and Fuller upper body and shimmer legs
,Rectangle(Straight),Bust wist and hips are similar in size little waist definition
,Inverted Triangle,Broad sholder and bust narrow hips and legs
,,
Male,Ectomorph,Lean and thin struggle to gain muscle or fat
,Mesomorph,Naturally muscular and alhletic; gain and loose weight easily
,Endomorph,Soft and rounded gains fat easily hard to loose weight 
