Skin Tone,Description,Best Color Family
Very Fair,"Pale white skin burns easily, usually with pink undertones","Cool tones, sky blue, lavender, rose pink , soft peach,  coral, beige"
Fair,Light skin ofter with freckles may tan,"Red(cherry), blue(powder, navy) mint, peach"
Medium,Beige or light brown skin tone gradually burn rarely,"Orange(rust), olive green, deep red, mustard, terracotta"
Olive (Tanned),"Golden, tan easily","Earthy tones, plum, teal brick red"
Brown (Deeply Tanned),"Medium to deep brown , rich golden or reddish undertone","Emerld, copper, cobalt, marron, golden, mustard"
Deep/Dark,very dark brown to black very sun proteetive,"Bold Blues, violent, orange, white, Bright yellow, Bronze, silver"
